preprocessing,arm,degradation_seed,statistic,mean,std,n
legacy_512,BRSET_unaltered,0,sharpness,0.00031393222445785796,0.0002445059440097988,64
legacy_512,BRSET_unaltered,0,brightness,0.40423969086259604,0.08855848828110095,64
legacy_512,BRSET_unaltered,0,contrast,0.08599532104562968,0.02393814969074856,64
legacy_512,BRSET_unaltered,0,falloff,0.09657117817550898,0.04965334577110936,64
legacy_512,BRSET_unaltered,0,saturation,0.8021379359997809,0.11055249970922892,64
legacy_512,local_generic,0,sharpness,0.00011374074631476105,5.267738365830486e-05,64
legacy_512,local_generic,0,brightness,0.4937964188866317,0.08049907526880501,64
legacy_512,local_generic,0,contrast,0.10344878403702751,0.03135403402641571,64
legacy_512,local_generic,0,falloff,0.07079985574819148,0.05671115084046564,64
legacy_512,local_generic,0,saturation,0.8479313626885414,0.11216463877660858,64
legacy_512,local_generic,1,sharpness,0.00011380610732203422,5.264418118572551e-05,64
legacy_512,local_generic,1,brightness,0.493514611851424,0.08057552441891153,64
legacy_512,local_generic,1,contrast,0.10390578885562718,0.031174380787332,64
legacy_512,local_generic,1,falloff,0.070611119735986,0.05652335471678693,64
legacy_512,local_generic,1,saturation,0.8479805281385779,0.11159267373737204,64
legacy_512,local_generic,2,sharpness,0.00011417613848152541,5.244372159378977e-05,64
legacy_512,local_generic,2,brightness,0.49379586754366755,0.08089289324359275,64
legacy_512,local_generic,2,contrast,0.10406587284523994,0.031138574744619875,64
legacy_512,local_generic,2,falloff,0.07082568109035492,0.056231023527152764,64
legacy_512,local_generic,2,saturation,0.8476738482713699,0.11180177765843428,64
legacy_512,fitted_frozen,0,sharpness,0.000880640860486892,0.00011582271443729053,64
legacy_512,fitted_frozen,0,brightness,0.43422296713106334,0.06315354588603389,64
legacy_512,fitted_frozen,0,contrast,0.14021210628561676,0.05487369005940748,64
legacy_512,fitted_frozen,0,falloff,0.1392461599316448,0.09158970013888112,64
legacy_512,fitted_frozen,0,saturation,0.6969692534767091,0.12252738445704747,64
legacy_512,fitted_frozen,1,sharpness,0.0008795639014351764,0.00011587478119059996,64
legacy_512,fitted_frozen,1,brightness,0.4345755863469094,0.06311486552285242,64
legacy_512,fitted_frozen,1,contrast,0.1401393284322694,0.05469088755585299,64
legacy_512,fitted_frozen,1,falloff,0.1384267050307244,0.09184009202617124,64
legacy_512,fitted_frozen,1,saturation,0.6977899800986052,0.12350363278347748,64
legacy_512,fitted_frozen,2,sharpness,0.000877024331202847,0.00011660201003438626,64
legacy_512,fitted_frozen,2,brightness,0.43338579847477376,0.06313388495067848,64
legacy_512,fitted_frozen,2,contrast,0.14138425095006824,0.054663219965125076,64
legacy_512,fitted_frozen,2,falloff,0.13998742890544236,0.0916360884938474,64
legacy_512,fitted_frozen,2,saturation,0.6958110551349819,0.12245344374371288,64
legacy_512,mBRSET_reference,0,sharpness,0.0011870715961777023,0.0004190943695331265,64
legacy_512,mBRSET_reference,0,brightness,0.38491209549829364,0.09907883462591066,64
legacy_512,mBRSET_reference,0,contrast,0.14342223422136158,0.0405180829618838,64
legacy_512,mBRSET_reference,0,falloff,0.10902147274464369,0.08685426535099108,64
legacy_512,mBRSET_reference,0,saturation,0.750038905069232,0.0901009097142438,64
model_eval_560_crop512,BRSET_unaltered,0,sharpness,0.00013735914751578093,0.00012630884693413396,64
model_eval_560_crop512,BRSET_unaltered,0,brightness,0.41044469084590673,0.08914655583931641,64
model_eval_560_crop512,BRSET_unaltered,0,contrast,0.08232142264023423,0.024448175582582964,64
model_eval_560_crop512,BRSET_unaltered,0,falloff,0.08442982076667249,0.047408427413649645,64
model_eval_560_crop512,BRSET_unaltered,0,saturation,0.8040966503322124,0.10885541775071912,64
model_eval_560_crop512,local_generic,0,sharpness,7.320783481645776e-05,3.162452117397347e-05,64
model_eval_560_crop512,local_generic,0,brightness,0.49477650597691536,0.08263682098213539,64
model_eval_560_crop512,local_generic,0,contrast,0.0952435641665943,0.02818792213552615,64
model_eval_560_crop512,local_generic,0,falloff,0.060972305946052074,0.05260335254055605,64
model_eval_560_crop512,local_generic,0,saturation,0.8616576185449958,0.10796559618701755,64
model_eval_560_crop512,local_generic,1,sharpness,7.322839013568228e-05,3.158237045110739e-05,64
model_eval_560_crop512,local_generic,1,brightness,0.4943831143900752,0.082782424112505,64
model_eval_560_crop512,local_generic,1,contrast,0.09587395144626498,0.028217814212458937,64
model_eval_560_crop512,local_generic,1,falloff,0.0609939603600651,0.05221864369758313,64
model_eval_560_crop512,local_generic,1,saturation,0.8616282818838954,0.1075470224258756,64
model_eval_560_crop512,local_generic,2,sharpness,7.352757276635202e-05,3.1601972855903364e-05,64
model_eval_560_crop512,local_generic,2,brightness,0.49469173699617386,0.08300503050676739,64
model_eval_560_crop512,local_generic,2,contrast,0.09614949894603342,0.02812372110481511,64
model_eval_560_crop512,local_generic,2,falloff,0.06116833142004907,0.05258638819605676,64
model_eval_560_crop512,local_generic,2,saturation,0.8612348437309265,0.10794298128613157,64
model_eval_560_crop512,fitted_frozen,0,sharpness,0.0008643567825856735,0.00011959655268653992,64
model_eval_560_crop512,fitted_frozen,0,brightness,0.45542910508811474,0.07332256516496403,64
model_eval_560_crop512,fitted_frozen,0,contrast,0.12425663921749219,0.04766895433988374,64
model_eval_560_crop512,fitted_frozen,0,falloff,0.1068824150133878,0.07089406633641976,64
model_eval_560_crop512,fitted_frozen,0,saturation,0.7161479769274592,0.11440193521206264,64
model_eval_560_crop512,fitted_frozen,1,sharpness,0.0008615806791567593,0.00012068519730190204,64
model_eval_560_crop512,fitted_frozen,1,brightness,0.45515253487974405,0.07304710313990066,64
model_eval_560_crop512,fitted_frozen,1,contrast,0.12492314679548144,0.048115742805743815,64
model_eval_560_crop512,fitted_frozen,1,falloff,0.10715458355844021,0.0724556967416553,64
model_eval_560_crop512,fitted_frozen,1,saturation,0.7159498450346291,0.11539163370696642,64
model_eval_560_crop512,fitted_frozen,2,sharpness,0.0008610488948761486,0.00012134040089302738,64
model_eval_560_crop512,fitted_frozen,2,brightness,0.45501291821710765,0.07374474515603315,64
model_eval_560_crop512,fitted_frozen,2,contrast,0.12478757259668782,0.04784001115823602,64
model_eval_560_crop512,fitted_frozen,2,falloff,0.10688163200393319,0.07223959979360006,64
model_eval_560_crop512,fitted_frozen,2,saturation,0.7156342859379947,0.11527919667305261,64
model_eval_560_crop512,mBRSET_reference,0,sharpness,0.0005466752600113978,0.00016628732910752345,64
model_eval_560_crop512,mBRSET_reference,0,brightness,0.38926506671123207,0.10067502553383652,64
model_eval_560_crop512,mBRSET_reference,0,contrast,0.1382778154220432,0.03963708422918709,64
model_eval_560_crop512,mBRSET_reference,0,falloff,0.09783499827608466,0.0888359348849319,64
model_eval_560_crop512,mBRSET_reference,0,saturation,0.7494109021499753,0.09181105853833284,64
